t,V,Vtilde,tau_star,d_star,V_recomputed,Vtilde_linkage
135.05,115198.59313588683,115198.59320217033,326.0655744695129,0.0,115220.16936686142,115220.16936686142
136.875,115201.48534784035,115201.48541462487,325.6311819365215,0.0,115223.34368492237,115223.34368492237
138.7,115204.78388824633,115204.78395553252,325.183137330838,0.0,115226.90546452827,115226.90546452827
140.525,115208.48286400689,115208.48293178742,324.7205755376202,0.0,115230.84934728753,115230.84934728753
142.35,115212.5759273616,115212.57599562257,324.2426267537154,0.0,115235.16934615103,115235.16934615103
144.175,115217.05623246019,115217.05630118323,323.7485158233713,0.0,115239.85622933067,115239.85622933067
146.0,115221.91642433745,115221.91649350227,323.2376474747662,0.0,115244.90592293956,115244.90592293956
147.825,115227.14865942042,115227.14872900731,322.70966992877493,0.0,115250.30997015943,115250.30997015943
149.65,115232.74465399598,115232.74472398889,322.1645118035531,0.0,115256.06066918702,115256.06066918702
151.475,115238.69575489516,115238.69582528381,321.60239009798704,0.0,115262.15100126553,115262.15100126553
153.3,115244.99302517013,115244.99309595212,321.02379000813323,0.0,115268.57117501242,115268.57117501242
155.125,115251.62733684391,115251.62740802587,320.42942011529453,0.0,115275.31380526476,115275.31380526476
156.95,115258.58946290251,115258.58953450072,319.82014881120676,0.0,115282.37059157602,115282.37059157602
158.775,115265.87016150927,115265.87023354918,319.1969294769866,0.0,115289.73303139137,115289.73303139137
160.6,115273.46024681901,115273.46031933435,318.56072276355377,0.0,115297.39306585054,115297.39306585054
162.425,115281.35064257152,115281.35071560247,317.9124242738044,0.0,115305.34068640122,115305.34068640122
164.25,115289.53241664387,115289.53249023481,317.2528050522708,0.0,115313.5686567685,115313.5686567685
166.075,115297.99679672359,115297.99687092076,316.58247066224294,0.0,115322.06855610432,115322.06855610432
167.9,115306.7351690369,115306.73524388569,315.90184246014053,0.0,115330.83165405829,115330.83165405829
169.725,115315.73906346117,115315.73913900401,315.2111621994914,0.0,115339.84903327694,115339.84903327694
171.55,115325.00012926453,115325.00020553882,314.51051857480996,0.0,115349.11504520272,115349.11504520272
173.375,115334.51010608785,115334.5101831245,313.799892009818,0.0,115358.61769151966,115358.61769151966
175.2,115344.26079462639,115344.26087244916,313.0792121375475,0.0,115368.35216295556,115368.35216295556
177.025,115354.24403084112,115354.24410946657,312.3484211934533,0.0,115378.30896091019,115378.30896091019
178.85,115364.45166654122,115364.45174597936,311.6075360596958,0.0,115388.48170655983,115388.48170655983
180.675,115374.8755579676,115374.87563822287,310.85670199337915,0.0,115398.86110179746,115398.86110179746
182.5,115385.50756272963,115385.50764380262,310.0962320971475,0.0,115409.43884481932,115409.43884481932
