t0_month,tau,t_calendar,I_baseline,I_xi_small,I_xi_full,OC,Y_H_baseline,Y_H_xi_small,Y_H_xi_full
4,222.24138639618712,312.2413863961871,302630.96083394793,306051.2819238619,3.7231694274313333e6,3.2647256316548586e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,225.3280723183564,315.32807231835636,313231.79545685614,316599.98538654495,3.6817666900769174e6,3.2107288530507237e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,228.41475824052566,318.41475824052566,324156.3024293862,327458.818340555,3.6270240595716564e6,3.1427778142213523e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,231.50144416269492,321.50144416269495,335423.2692351947,338660.7891254654,3.573285248070876e6,3.0751410958093256e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,234.5881300848642,324.5881300848642,347054.21935896407,350227.51017783134,3.520693330241871e6,3.007874974996358e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,237.67481600703346,327.6748160070334,359073.86481763417,362183.85836757364,3.469416815669511e6,2.9410402674570084e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,240.76150192920272,330.7615019292027,371510.8608859734,374570.7175793064,3.4316846619260083e6,2.8867401837460995e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,243.848187851372,333.848187851372,384398.6169733587,387468.62265669374,3.4547307890852587e6,2.891994736376077e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,246.93487377354126,336.93487377354126,397776.1934995069,400858.17728641495,3.4800756026937217e6,2.8980975749395043e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,250.02155969571052,340.0215596957105,411689.55704571685,414785.6809926644,3.508140565128329e6,2.905207055644676e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,253.1082456178798,343.1082456178798,426192.7145072724,429305.63089709915,3.5394274485256583e6,2.9135247424905e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,256.194931540049,346.194931540049,441349.33713957027,444482.19114736276,3.5745304123109025e6,2.923289853665456e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,259.2816174622183,349.2816174622183,457234.21627382474,460409.3953479824,3.63260098030975e6,2.9532221067361236e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,262.36830338438756,352.36830338438756,473935.10438037006,477173.0253663672,3.712049623235566e6,3.0010775358201265e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,265.45498930655685,355.45498930655685,491554.38664894295,494860.8396529207,3.7981981511810087e6,3.0515499745342582e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,268.5416752287261,358.5416752287261,510210.90720414947,513592.7844777928,3.892283310965479e6,3.105121964035064e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,271.6283611508954,361.6283611508954,530041.5182139868,533507.0103617968,3.9957285426624883e6,3.16234685694772e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,274.7150470730646,364.7150470730646,551202.4628337723,554761.2193741,4.1101555852659703e6,3.223845537745759e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,277.8017329952339,367.8017329952339,573870.2424498864,577541.6320941217,4.245624440990889e6,3.298504234432578e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,280.88841891740316,370.88841891740316,598241.854513988,602040.241733087,4.3969896563825235e6,3.379806365414396e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,283.97510483957245,373.97510483957245,624534.236599254,628475.0508520862,4.565726544944913e6,3.4677584879841805e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,287.0617907617417,377.0617907617417,652982.4271157582,657083.3982249275,4.754335331753541e6,3.563237437726006e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,290.148476683911,380.148476683911,683836.6104127537,688117.878889334,4.965482204584779e6,3.667142480556071e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,293.2351626060802,383.2351626060802,717357.4177478141,721846.6588597695,5.20690859599877e6,3.7853208201003075e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,296.3218485282495,386.3218485282495,753809.3970093097,758545.2391692871,5.489948462515265e6,3.926829185172528e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,299.40853445041876,389.40853445041876,793452.8910613048,798464.034851401,5.804921158140963e6,4.0797785846453607e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,302.49522037258805,392.49522037258805,836533.5132331048,841851.3703202544,6.154711221090051e6,4.24494859371756e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
4,305.5819062947573,395.5819062947573,883270.401304388,888928.7386415615,6.541946958587174e6,4.422963874918923e6,4.422963877268088e6,4.421728248175174e6,3.1872518825055426e6
5,0.0,120.0,8000.0,8000.0,8000.0,-22515.53008544445,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,2.980449410679249,122.98044941067926,8204.904111949156,8288.789624264537,92087.41186050874,83731.33055324852,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,5.960898821358498,125.9608988213585,8408.817445920298,8592.515979839862,192104.33360548664,183023.6195141077,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,8.941348232037747,128.94134823203774,8614.640841394315,8898.70130385453,292672.0734930116,282584.64374282956,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,11.921797642716996,131.921797642717,8825.841429953334,9210.669244211076,393650.62414319563,382346.4001147449,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,14.902247053396245,134.90224705339625,9046.279270931018,9532.16409408505,494928.06053927296,482254.2061472386,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,17.882696464075494,137.88269646407548,9280.0641128975,9867.203265311528,596416.1667692238,582264.4541863948,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,20.863145874754743,140.86314587475474,9531.438762265494,10204.239892123585,682322.97265518,666631.5729779154,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,23.84359528543399,143.843595285434,9804.68575124132,10553.055266729976,758164.571095209,740927.3433464468,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,26.82404469611324,146.82404469611325,10104.054106650165,10927.950647631398,833990.9460894961,815208.4435676187,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,29.80449410679249,149.8044941067925,10433.703208951172,11333.06960035508,909790.4407508144,889473.3552485257,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,32.78494351747174,152.78494351747173,10797.661146868159,11772.429789666832,985556.6305830842,963717.1947014779,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,35.76539292815099,155.765392928151,11199.795279052847,12249.892270905886,1.0612870944841332e6,1.0379341248209774e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,38.745842338830236,158.74584233883024,11643.792722128439,12743.327140550144,1.1111683249238345e6,1.0863190603366494e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,41.726291749509485,161.72629174950947,12133.149012891708,13274.609831294336,1.1535840776563464e6,1.1272727774237245e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,44.706741160188734,164.70674116018873,12671.163502060586,13854.432975312617,1.1959307116605234e6,1.1681808374702632e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,47.68719057086798,167.68719057086798,13260.940211738141,14485.912231040638,1.2382230766982497e6,1.2090488292652816e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
