t,ymin_case,fallow,V,Vtilde,tau_star,d_star,Vtilde_prime,delta_Vtilde,stocking_resid
102.2,ymin_zero,optimal_fallow,89544.98851035067,89679.48109345694,304.88149802163866,0.0,-15.963112430754403,12.284860423761225,-28.24797285451563
104.025,ymin_zero,optimal_fallow,89522.54344060825,89651.68571835806,304.83447893100526,0.0,-12.471679326266154,12.281052838131242,-24.752732164397393
105.85,ymin_zero,optimal_fallow,89503.30253222858,89628.92490358763,303.6996032744693,0.0,-12.471679326266154,12.277934918299676,-24.74961424456583
107.675,ymin_zero,optimal_fallow,89484.06162384892,89606.16408881718,302.56472761793333,0.0,-12.471679326266154,12.27481699846811,-24.746496324734263
109.5,ymin_zero,optimal_fallow,89465.63590044736,89583.79913469136,301.66937336886184,0.0,-12.178850904222418,12.271753306122106,-24.450604210344522
111.325,ymin_zero,optimal_fallow,89447.49549178817,89561.57273179117,300.8578516124029,0.0,-12.178850904222418,12.268708593396052,-24.44755949761847
113.15,ymin_zero,optimal_fallow,89430.0274808084,89540.22077919437,299.9522162383514,0.0,-10.414704588496143,12.265783668382792,-22.680488256878935
114.975,ymin_zero,optimal_fallow,89414.36271815072,89521.21394332037,298.79418525348365,0.0,-10.414704588496143,12.263179992235669,-22.677884580731813
116.8,ymin_zero,optimal_fallow,89398.69795549304,89502.20710744636,297.6361542686158,0.0,-10.414704588496143,12.260576316088544,-22.67528090458469
118.625,ymin_zero,optimal_fallow,89383.64067648264,89483.02120577372,296.6121442768537,0.0,-10.536975017911464,12.257948110379964,-22.79492312829143
120.45,ymin_zero,optimal_fallow,89368.73293190851,89463.79122636603,295.6211240680099,0.0,-10.536975017911464,12.255313866625485,-22.79228888453695
122.275,ymin_zero,optimal_fallow,89354.65092716554,89445.40694997797,294.658493826617,0.0,-9.146778273307028,12.252795472599724,-21.39957374590675
124.1,ymin_zero,optimal_fallow,89342.22040208493,89428.7140796292,293.752643520126,0.0,-9.146778273307028,12.250508778031397,-21.397287051338424
125.925,ymin_zero,optimal_fallow,89329.78987700431,89412.0212092804,292.846793213635,0.0,-9.146778273307028,12.24822208346307,-21.395000356770097
127.75,ymin_zero,optimal_fallow,89318.77872881046,89397.24578392334,291.69070591696385,0.0,-7.931020587753322,12.24619805259224,-20.17721864034556
129.575,ymin_zero,optimal_fallow,89307.99062555598,89382.7716713507,290.49529566469295,0.0,-7.931020587753322,12.244215297445303,-20.175235885198624
131.4,ymin_zero,optimal_fallow,89297.98118023446,89368.80846113771,289.39265910468,0.0,-7.222406013557331,12.242302528922975,-19.464708542480306
133.225,ymin_zero,optimal_fallow,89289.16405487286,89355.62757016296,288.432082260937,0.0,-7.222406013557331,12.240496927419585,-19.462902940976917
135.05,ymin_zero,optimal_fallow,89280.34692951126,89342.44667918823,287.47150541719407,0.0,-7.222406013557331,12.238691325916198,-19.46109733947353
136.875,ymin_zero,optimal_fallow,89273.26797367091,89331.90593451385,286.2654722523045,0.0,-5.66001806594359,12.237247388289571,-17.89726545423316
138.7,ymin_zero,optimal_fallow,89266.32807139224,89321.5764015435,285.0398025817232,0.0,-5.66001806594359,12.235832383773083,-17.895850449716672
140.525,ymin_zero,optimal_fallow,89260.00928960413,89311.36502935195,283.91375503131485,0.0,-5.518277627848714,12.234433565664652,-17.752711193513367
142.35,ymin_zero,optimal_fallow,89254.42913758854,89301.29417268113,282.90617702922026,0.0,-5.518277627848714,12.23305399625769,-17.751331624106403
144.175,ymin_zero,optimal_fallow,89248.84898557296,89291.2233160103,281.89859902712567,0.0,-5.518277627848714,12.231674426850729,-17.749952054699442
146.0,ymin_zero,optimal_fallow,89245.09136112401,89283.10577984892,280.87516890889015,0.0,-4.434586112334329,12.230562435595743,-16.665148547930073
147.825,ymin_zero,optimal_fallow,89241.35651826963,89275.01266019391,279.8515406392028,0.0,-4.434586112334329,12.22945378906766,-16.66403990140199
