t,V_exact,V_fourier,d_star,t0_star,Vtilde_linkage
178.85,3.358289082299111e7,3.6920984688905574e7,0.0,178.85,3.358289082299111e7
182.5,3.358004614602942e7,3.692003896468592e7,0.0,182.5,3.358004614602942e7
186.15,3.357855653823157e7,3.6928682207908034e7,0.0,186.15,3.357855653823157e7
189.8,3.357683154705778e7,3.6928587471990496e7,0.0,189.8,3.357683154705778e7
193.45,3.3574996128814586e7,3.6930531981540784e7,0.0,193.45,3.3574996128814586e7
197.1,3.357280594949807e7,3.6933322193814024e7,0.0,197.1,3.357280594949807e7
200.75,3.357005098201372e7,3.692875590167707e7,0.0,200.75,3.357005098201372e7
204.4,3.356877175875397e7,3.693420681098171e7,0.0,204.4,3.356877175875397e7
208.05,3.356711730411888e7,3.6932254828274794e7,0.0,208.05,3.356711730411888e7
211.7,3.356557729942937e7,3.693656912614385e7,0.0,211.7,3.356557729942937e7
215.35,3.3563304598175175e7,3.694231676863976e7,0.0,215.35,3.3563304598175175e7
219.0,3.356001173249024e7,3.694185140836075e7,0.0,219.0,3.356001173249024e7
222.65,3.355824665373799e7,3.694988978344373e7,0.0,222.65,3.355824665373799e7
226.3,3.355587118617092e7,3.6946890518813975e7,0.0,226.3,3.355587118617092e7
229.95,3.355395871242647e7,3.6949390470206834e7,0.0,229.95,3.355395871242647e7
233.6,3.3550823633687206e7,3.695084140133485e7,0.0,233.6,3.3550823633687206e7
237.25,3.3546119142916013e7,3.694797538806992e7,0.0,237.25,3.3546119142916013e7
240.9,3.3542912125004176e7,3.69562325263728e7,0.0,240.9,3.3542912125004176e7
244.55,3.353872709173542e7,3.695468584333456e7,0.0,244.55,3.353872709173542e7
248.2,3.35355588016987e7,3.696185023732473e7,0.0,248.2,3.35355588016987e7
251.85,3.35305244308243e7,3.69651747007729e7,0.0,251.85,3.35305244308243e7
255.5,3.3523247037124407e7,3.696241539528939e7,0.0,255.5,3.3523247037124407e7
259.15,3.351731478333377e7,3.6968084298800945e7,0.0,259.15,3.351731478333377e7
262.8,3.3509820227028184e7,3.6960101174558535e7,0.0,262.8,3.3509820227028184e7
266.45,3.3504267147632256e7,3.69641601844093e7,0.0,266.45,3.3504267147632256e7
270.1,3.349597163637213e7,3.696409554050583e7,0.0,270.1,3.349597163637213e7
273.75,3.348458085298797e7,3.696139769981346e7,0.0,273.75,3.348458085298797e7
277.4,3.3474166321192697e7,3.6968623626713805e7,0.0,277.4,3.3474166321192697e7
281.05,3.3461204337513987e7,3.695573570680262e7,0.0,281.05,3.3461204337513987e7
284.7,3.3451879242317524e7,3.695682177519848e7,0.0,284.7,3.3451879242317524e7
288.35,3.3438566284765247e7,3.694683564923203e7,0.0,288.35,3.3438566284765247e7
292.0,3.342103271979071e7,3.693649068455089e7,0.0,292.0,3.342103271979071e7
295.65,3.340138865338948e7,3.69470965274544e7,0.3191845507228536,295.96918455072284,3.3402849124664698e7
299.3,3.337833427927994e7,3.692308814422816e7,0.3034869498676287,299.60348694986766,3.337972196413374e7
302.95,3.336443962075123e7,3.692652596803697e7,0.1919131551475103,303.1419131551475,3.336531676582586e7
306.6,3.333391418248308e7,3.6924019578166485e7,0.8010288214852554,307.4010288214853,3.3337572112759806e7
310.25,3.332002237409997e7,3.6891061611312844e7,0.12516075335707144,310.3751607533571,3.3320593661066197e7
313.9,3.3287467819675256e7,3.691246871229599e7,0.7906762739970226,314.690676273997,3.3291073441105444e7
317.55,3.324549287589583e7,3.688959405333302e7,0.6349370079067034,318.18493700790674,3.3248384617237817e7
321.2,3.3216514753992412e7,3.685851586759356e7,0.4947825784778092,321.69478257847777,3.321876619369081e7
324.85,3.3139155539506346e7,3.690646810629686e7,1.6080433800529021,326.4580433800529,3.3146456233942926e7
328.5,3.3166139094221342e7,3.684108458458831e7,0.17670806374208414,328.67670806374207,3.3166941942872815e7
332.15,3.2932604502290614e7,3.669071178970861e7,2.7440769814631025,334.89407698146306,3.294498622682386e7
335.8,3.306865036284961e7,3.671201744654919e7,1.8551506353553737,337.65515063535537,3.3077055174287476e7
339.45,3.3044750218298085e7,3.677991780793287e7,0.0,339.45,3.3044750218298085e7
343.1,3.3010633872591455e7,3.6720653978859566e7,0.0,343.1,3.3010633872591455e7
346.75,3.2962126600894853e7,3.67053762412909e7,0.0,346.75,3.2962126600894853e7
350.4,3.346167358101266e7,3.668679548845963e7,4.851190047570785,355.2511900475708,3.348391781215946e7
354.05,3.344682977749824e7,3.663982700800472e7,3.8146262809167126,357.8646262809167,3.3464312037378047e7
357.7,3.349556570203622e7,3.6759073020230725e7,1.1637226151560307,358.863722615156,3.350090579168333e7
361.35,3.3549613503613453e7,3.682614946676462e7,0.3854872768093689,361.7354872768094,3.355138518726075e7
