node,fallow,V_at_node,tau_at_node,d_at_node,t0_at_node
135.1851851851852,optimal_fallow,62479.34863013089,268.91925557982665,0.0,135.1851851851852
139.69135802469137,optimal_fallow,62463.41273382859,265.52557713206807,0.0,139.69135802469137
144.19753086419752,optimal_fallow,62452.45267003814,262.0845559869489,0.0,144.19753086419752
148.7037037037037,optimal_fallow,62445.82422169973,258.6016079819973,0.0,148.7037037037037
153.20987654320987,optimal_fallow,62442.95197523557,255.08338102514813,0.0,153.20987654320987
157.71604938271605,optimal_fallow,62443.422286736,251.53514264522522,0.0,157.71604938271605
162.22222222222223,optimal_fallow,62446.801072596245,247.96192058723574,0.0,162.22222222222223
166.7283950617284,optimal_fallow,62452.756461773635,244.3662138542084,0.0,166.7283950617284
171.23456790123456,optimal_fallow,62461.03079153788,240.7525515060557,0.0,171.23456790123456
175.74074074074073,optimal_fallow,62471.33715938416,237.12280065873372,0.0,175.74074074074073
180.2469135802469,optimal_fallow,62483.53095668349,233.48014394269163,0.0,180.2469135802469
184.7530864197531,optimal_fallow,62497.41380718595,229.8260224368117,0.0,184.7530864197531
189.25925925925927,optimal_fallow,62512.90064042182,226.16140130234285,0.0,189.25925925925927
193.76543209876544,optimal_fallow,62529.935335919676,222.48809228010165,0.0,193.76543209876544
198.2716049382716,optimal_fallow,62548.02914278334,218.80714953404834,0.0,198.2716049382716
202.77777777777777,optimal_fallow,62567.50696118656,215.11773743670466,0.0,202.77777777777777
207.28395061728395,optimal_fallow,62588.15908908054,211.42203245016725,0.0,207.28395061728395
211.79012345679013,optimal_fallow,62609.9169758926,207.2839506172839,0.0,211.79012345679013
216.2962962962963,optimal_fallow,62632.036318013794,202.77777777777771,0.0,216.2962962962963
220.80246913580248,optimal_fallow,62654.32363023714,198.2716049382716,0.0,220.80246913580248
225.30864197530863,optimal_fallow,62676.93036204332,193.89722101708546,0.0,225.30864197530863
229.8148148148148,optimal_fallow,62699.97265010591,190.11485497062225,0.0,229.8148148148148
234.320987654321,optimal_fallow,62723.885117578015,186.3271274968869,0.0,234.320987654321
238.82716049382717,optimal_fallow,62748.56285343734,182.53417075139518,0.0,238.82716049382717
243.33333333333334,optimal_fallow,62773.922050355475,178.73838458143123,0.0,243.33333333333334
247.8395061728395,optimal_fallow,62799.92821396627,174.9410579149178,0.0,247.8395061728395
252.34567901234567,optimal_fallow,62826.534687293184,171.1455488635737,0.0,252.34567901234567
256.85185185185185,optimal_fallow,62853.6351566044,166.72839506172835,0.0,256.85185185185185
261.358024691358,optimal_fallow,62880.78605118349,162.22222222222223,0.0,261.358024691358
265.8641975308642,optimal_fallow,62907.78008224751,158.19437893567255,0.0,265.8641975308642
270.3703703703704,optimal_fallow,62934.96864189996,154.40994665253578,0.0,270.3703703703704
274.87654320987656,optimal_fallow,62962.3457825988,150.6468731298949,0.0,274.87654320987656
279.38271604938274,optimal_fallow,62989.92287581166,146.91022829908036,0.0,279.38271604938274
283.8888888888889,optimal_fallow,63017.51614370635,143.2097790406208,0.0,283.8888888888889
288.39506172839504,optimal_fallow,63045.041214351484,139.93705941185277,0.0,288.39506172839504
292.9012345679012,optimal_fallow,63072.71538159046,136.34862943717837,0.0,292.9012345679012
297.4074074074074,optimal_fallow,63100.193972940615,132.8312027602194,0.0,297.4074074074074
301.91358024691357,optimal_fallow,63127.577083313794,129.40128902964204,0.0,301.91358024691357
306.41975308641975,optimal_fallow,63154.54002056256,126.07982242304399,0.0,306.41975308641975
