t,scenario,fallow,V,Vtilde,tau_star,d_star,Vtilde_prime,delta_Vtilde,stocking_resid
224.475,baseline,no_fallow,106848.27077836767,106753.53390312222,280.73375840483897,0.0,5.549511485462854,14.623771767550991,-9.074260282088137
226.3,baseline,no_fallow,106859.14214605499,106764.00696173312,279.96220563041567,0.0,5.897720852131353,14.625206433114128,-8.727485580982776
228.125,baseline,no_fallow,106870.17168583679,106774.77030228825,278.9359115088269,0.0,5.897720852131353,14.62668086332716,-8.728960011195806
229.95,baseline,no_fallow,106881.20269190439,106785.52942273502,277.9548131651756,0.0,5.866503612128238,14.628154715443156,-8.761651103314918
231.775,baseline,no_fallow,106892.25202654439,106796.23579182716,277.5386620457427,0.0,5.866503612128238,14.629621341346189,-8.763117729217951
233.6,baseline,no_fallow,106903.30136118439,106806.9421609193,277.12251092630976,0.0,5.866503612128238,14.63108796724922,-8.764584355120983
235.425,baseline,no_fallow,106914.35980531547,106817.73539518211,276.72106876191515,0.0,5.945184952090767,14.632566492490703,-8.687381540399937
237.25,baseline,no_fallow,106925.42419850195,106828.58535771968,276.32923244570884,0.0,5.945184952090767,14.634052788728726,-8.688867836637957
239.075,baseline,no_fallow,106936.51831539306,106839.48679480598,275.8536872319378,0.0,6.15287802542654,14.635546136274794,-8.482668110848254
240.9,baseline,no_fallow,106947.80158313188,106850.71579720239,274.84544903366344,0.0,6.15287802542654,14.63708435578115,-8.48420633035461
242.725,baseline,no_fallow,106959.0848508707,106861.94479959879,273.8372108353891,0.0,6.15287802542654,14.638622575287506,-8.485744549860966
244.55,baseline,no_fallow,106970.29828073873,106873.17194288256,273.31656255783247,0.0,6.151349987643197,14.6401605401209,-8.488810552477704
246.375,baseline,no_fallow,106981.47679167138,106884.39815661,273.03970924063464,0.0,6.151349987643197,14.641698377617809,-8.490348389974612
248.2,baseline,no_fallow,106992.63867424948,106895.636460319,272.74769064342746,0.0,6.184887265216605,14.643237871276577,-8.458350606059973
250.025,baseline,no_fallow,107003.73300413726,106906.92387957801,272.39406309618244,0.0,6.184887265216605,14.64478409309288,-8.459896827876275
251.85,baseline,no_fallow,107014.82733402505,106918.21129883704,272.0404355489374,0.0,6.184887265216605,14.646330314909184,-8.46144304969258
253.675,baseline,no_fallow,107025.87615008415,106929.43699511777,271.24828755885886,0.0,6.1384553056927045,14.647868081522983,-8.509412775830278
255.5,baseline,no_fallow,107036.90799488511,106940.63967605065,270.29262347145254,0.0,6.1384553056927045,14.649402695349405,-8.5109473896567
257.325,baseline,no_fallow,107047.87884877465,106951.84970832978,269.50478466015136,0.0,6.153992397553992,14.650938316209562,-8.49694591865557
259.15,baseline,no_fallow,107058.67544291726,106963.08074445532,269.196446637722,0.0,6.153992397553992,14.65247681430895,-8.498484416754957
260.975,baseline,no_fallow,107069.47203705988,106974.31178058086,268.88810861529254,0.0,6.153992397553992,14.654015312408339,-8.500022914854346
262.8,baseline,no_fallow,107080.0968161539,106985.56401463758,268.7481565159382,0.0,6.168693017645546,14.655556714333917,-8.48686369668837
264.625,baseline,no_fallow,107090.67595687567,106996.82187939479,268.6529319274007,0.0,6.168693017645546,14.65709888758833,-8.488405869942785
266.45,baseline,no_fallow,107101.16893774348,107008.01786975257,268.49496430668177,0.0,6.063069701463309,14.658632584897614,-8.595562883434305
268.275,baseline,no_fallow,107111.47965738182,107019.08297195775,268.20427104096365,0.0,6.063069701463309,14.660148352322981,-8.597078650859672
270.1,baseline,no_fallow,107121.79037702015,107030.14807416292,267.9135777752455,0.0,6.063069701463309,14.661664119748346,-8.598594418285037
271.925,baseline,no_fallow,107131.7531081451,107041.04825459483,267.7567412606695,0.0,5.956985416105218,14.66315729514998,-8.70617187904476
273.75,baseline,no_fallow,107141.65531952861,107051.91975297921,267.6231841810747,0.0,5.956985416105218,14.664646541504004,-8.707661125398786
275.575,baseline,no_fallow,107151.41228055059,107062.71615799249,267.5068829780977,0.0,5.849472149441089,14.666125501094863,-8.816653351653773
277.4,baseline,no_fallow,107160.93496679592,107073.39144466522,267.4184138341816,0.0,5.849472149441089,14.667587869132223,-8.818115719691134
279.225,baseline,no_fallow,107170.45765304125,107084.06673133794,267.3299446902655,0.0,5.849472149441089,14.669050237169582,-8.819578087728493
281.05,baseline,no_fallow,107179.57355383654,107094.43744067643,267.1970764377437,0.0,5.666793407682899,14.670470882284445,-9.003677474601545
282.875,baseline,no_fallow,107188.6509749271,107104.77933864544,267.060008269543,0.0,5.666793407682899,14.671887580636364,-9.005094172953465
284.7,baseline,no_fallow,107197.47955093227,107115.03029247692,267.0442956070722,0.0,5.5546704983816175,14.67329182088725,-9.118621322505632
286.525,baseline,no_fallow,107205.99707058066,107125.16756613647,267.18027732676364,0.0,5.5546704983816175,14.674680488511846,-9.120009990130228
288.35,baseline,no_fallow,107214.51459022905,107135.30483979601,267.3162590464551,0.0,5.5546704983816175,14.67606915613644,-9.121398657754824
290.175,baseline,no_fallow,107222.57519184411,107145.01475358964,267.3038451326449,0.0,5.314572359731476,14.677399281313651,-9.362826921582176
292.0,baseline,no_fallow,107230.62422591403,107154.71384814614,267.2876743673536,0.0,5.314572359731476,14.678727924403583,-9.364155564672107
293.825,baseline,no_fallow,107238.31745977276,107164.13239922054,267.2940714678245,0.0,5.010876776021262,14.680018136879529,-9.669141360858266
295.65,baseline,no_fallow,107245.66357147429,107173.27724933678,267.32248599830746,0.0,5.010876776021262,14.681270856073533,-9.670394080052272
297.475,baseline,no_fallow,107252.98297617736,107182.42130551848,267.37123500479396,0.0,4.999130895099843,14.682523466509382,-9.683392571409538
299.3,baseline,no_fallow,107259.60799892066,107191.54471940204,267.9486803873731,0.0,4.999130895099843,14.683773249233157,-9.684642354133313
301.125,baseline,no_fallow,107266.23302166398,107200.6681332856,268.5261257699522,0.0,4.999130895099843,14.685023031956932,-9.685892136857088
302.95,baseline,no_fallow,107272.50396175172,107209.26695193166,268.8653377051517,0.0,4.492969915513319,14.686200952319407,-10.193231036806088
304.775,baseline,no_fallow,107278.50549112326,107217.46662202748,269.0232850608233,0.0,4.492969915513319,14.687324194798286,-10.194354279284967
306.6,baseline,no_fallow,107284.42172892386,107225.69617043789,269.27216087685656,0.0,4.6587331677409,14.688451530196973,-10.029718362456073
308.425,baseline,no_fallow,107289.55968113946,107234.19835846902,270.35075889369006,0.0,4.6587331677409,14.689616213488907,-10.030883045748007
310.25,baseline,no_fallow,107294.69763335507,107242.70054650014,271.42935691052355,0.0,4.6587331677409,14.690780896780844,-10.032047729039943
312.075,baseline,no_fallow,107299.38038277118,107250.45372551685,272.18858813795543,0.0,4.006896152784956,14.6918429760982,-10.684946823313245
313.9,baseline,no_fallow,107303.79536583465,107257.76631099569,272.7599565480922,0.0,4.006896152784956,14.692844700136398,-10.685948547351442
315.725,baseline,no_fallow,107308.07684670658,107265.09543733754,273.441217580025,0.0,4.063368646111431,14.69384869004624,-10.63048004393481
317.55,baseline,no_fallow,107311.66000842265,107272.5110851167,274.6973015567369,0.0,4.063368646111431,14.694864532207768,-10.631495886096339
319.375,baseline,no_fallow,107315.24317013872,107279.92673289584,275.95338553344874,0.0,4.063368646111431,14.695880374369295,-10.632511728257864
321.2,baseline,no_fallow,107318.23597273762,107286.62006302478,277.0770851621101,0.0,3.4908859683470586,14.696797268907506,-11.205911300560448
323.025,baseline,no_fallow,107320.96522215918,107292.99092991701,278.14168463539175,0.0,3.4908859683470586,14.697669990399593,-11.206784022052535
