t,fallow,V,Vtilde,tau_star,d_star,Vtilde_prime,delta_Vtilde,stocking_resid
229.95,optimal_fallow,58217.821178743776,57002.24880300088,274.63587243069,8.877160493827162,8.081070106685306,7.841534350206628,0.23953575647867797
231.775,optimal_fallow,58232.379857390355,57087.64837849143,314.24666796220635,7.052160493827145,8.081070106685306,7.841534350206628,0.23953575647867797
233.6,optimal_fallow,58246.93853603693,57173.047953981986,353.85746349372204,5.2271604938271565,8.081070106685306,7.841534350206628,0.23953575647867797
235.425,optimal_fallow,58261.50265277077,57215.70765904356,368.40216049382724,3.402160493827143,-79.35359994273286,7.841534350206628,-87.19513429293949
237.25,optimal_fallow,58276.070320908526,57230.45561198826,366.57716049382725,1.5771604938271602,-79.35359994273286,7.841534350206628,-87.19513429293949
239.075,optimal_fallow,58289.82760843186,57223.533799485536,360.3654009943543,0.0,-79.35359994273286,7.838840246504869,-87.19244018923773
240.9,optimal_fallow,58298.427928408855,57078.71347959004,326.2378992255051,0.0,-79.35359994273286,7.819001846519185,-87.17260178925204
242.725,optimal_fallow,58307.028248385854,56933.89315969456,292.1103974566565,0.0,-79.35359994273286,7.799163446533503,-87.15276338926635
244.55,optimal_fallow,58319.50245546459,56892.06812181441,280.0352944365315,0.0,5.300056508231628,7.793433989289646,-2.493377481058018
246.375,optimal_fallow,58333.9136060942,56901.740724941934,278.9863907907689,0.0,5.300056508231628,7.794759003416704,-2.4947024951850763
248.2,optimal_fallow,58348.31323714925,56911.70528279625,277.8832272063147,0.0,6.109930921595059,7.796124011341953,-1.6861930897468937
250.025,optimal_fallow,58362.666069932646,56922.85590672816,276.55963262092615,0.0,6.109930921595059,7.797651494072352,-1.6877205724772928
251.85,optimal_fallow,58377.018902716045,56934.00653066007,275.2360380355376,0.0,6.109930921595059,7.799178976802751,-1.6892480552076918
253.675,optimal_fallow,58391.32150990655,56947.14192486367,273.54722222222216,0.0,7.6030016623103425,7.800978345871736,-0.19797668356139386
255.5,optimal_fallow,58405.60538890987,56961.017402897385,271.7222222222222,0.0,7.6030016623103425,7.802879096287314,-0.19987743397697155
257.325,optimal_fallow,58419.863024864055,56974.86827719493,269.8972222222222,0.0,7.55100159369313,7.804776476328073,-0.25377488263494374
259.15,optimal_fallow,58434.04568067783,56988.64885510342,268.0722222222222,0.0,7.55100159369313,7.806664226726497,-0.2556626330333671
260.975,optimal_fallow,58448.228336491615,57002.42943301191,266.24722222222215,0.0,7.55100159369313,7.80855197712492,-0.2575503834317905
262.8,optimal_fallow,58462.32369469142,57016.12721086926,264.42222222222216,0.0,7.493580325348502,7.810428385050584,-0.31684805970208263
264.625,optimal_fallow,58476.39586446251,57029.802994963014,262.5972222222222,0.0,7.493580325348502,7.812301780131921,-0.31872145478341896
266.45,optimal_fallow,58490.413640564446,57043.44219689021,260.7722222222222,0.0,7.4311323697748435,7.814170163957564,-0.3830377941827203
