day,LHS,RHS
115.28540046749175,22440.709556356385,10297.340683617047
116.82979777110651,22742.206448513276,10470.951428860533
118.37419507472127,23040.369306060686,10644.249037147365
119.91859237833602,23335.152202578138,10817.205270454799
121.46298968195077,23626.511944434813,10989.792688384256
123.00738698556553,23914.4079928518,11161.98463183345
124.55178428918028,24198.802387779608,11333.755206970121
126.09618159279503,24479.65967355225,11505.079269502288
127.64057889640979,24756.946826280007,11675.932409238829
129.18497620002455,25030.63318294413,11846.290934936083
130.7293735036393,25300.690372156863,12016.131859424364
132.27377080725404,25567.0922465517,12185.432885010332
133.8181681108688,25829.814816768645,12354.172389149433
135.36256541448356,26088.83618700058,12522.329410384078
136.9069627180983,26344.13649206743,12689.883634542586
138.45136002171307,26595.697835985105,12856.815381194345
139.99575732532782,26843.504231997413,13023.105590356306
141.54015462894256,27087.54154403945,13188.735809446975
143.08455193255733,27327.79742960164,13353.68818048262
144.62894923617208,27564.26128396426,13517.945427512119
146.17334653978682,27796.92418577306,13681.490844285818
147.7177438434016,28025.778843926902,13844.308282154238
149.26214114701634,28250.819545749124,14006.382138192694
150.80653845063108,28472.042106414847,14167.697343547698
152.35093575424585,28689.44381960704,14328.2393520011
153.8953330578606,28903.02340937472,14487.994128748433
155.43973036147534,29112.78098316721,14646.948139387236
156.9841276650901,29318.71798601871,14805.088339111797
158.52852496870486,29520.83715585841,14962.402162110833
160.0729222723196,29719.14247992147,15118.877511164128
161.61731957593437,29913.63915223679,15274.50274743479
163.16171687954912,30104.333532168144,15429.266680453797
164.70611418316386,30291.233103985665,15583.158558293058
166.25051148677863,30474.34643744489,15736.16805792384
167.79490879039338,30653.68314935153,15888.285275757344
169.33930609400812,30829.25386609009,16039.50071836395
170.8837033976229,31001.070187095265,16189.80529336815
172.42810070123764,31169.14464924527,16339.190300515995
173.97249800485238,31333.490692156804,16487.64742291185
175.51689530846716,31494.12262436164,16635.16871842159
177.0612926120819,31651.055590345484,16781.746611239298
178.60568991569664,31804.305538429788,16927.373883614226
