node,Q,xi,V,tau_star,d_star
133.53658536585365,0.1,0.5,113266.19068958299,289.29305253452685,0.0
142.4390243902439,0.1,0.5,113186.62792908182,285.3837182510307,0.0
151.34146341463415,0.1,0.5,113145.9835343463,284.2356499005923,0.0
160.2439024390244,0.1,0.5,113133.98196319479,284.87806978048775,0.0
169.14634146341464,0.1,0.5,113087.49830079883,275.9756327560975,0.0
178.0487804878049,0.1,0.5,113013.67700616826,267.07319473170855,0.0
186.9512195121951,0.1,0.5,113116.50900344306,273.2045489080264,0.0
195.85365853658536,0.1,0.5,113139.97959086244,270.5840028062919,0.0
204.7560975609756,0.1,0.5,113155.51333573666,265.76363398143496,0.0
213.65853658536585,0.1,0.5,113164.12515364889,259.1520056608123,0.0
222.5609756097561,0.1,0.5,113200.54728813843,254.92173401820736,0.0
231.46341463414635,0.1,0.5,113286.82820077747,255.12813826049572,0.0
240.3658536585366,0.1,0.5,113339.60168274154,251.392318911646,0.0
249.26829268292684,0.1,0.5,113383.9117687724,246.65790904568652,0.0
258.1707317073171,0.1,0.5,113460.04652688735,246.3520403163074,0.0
267.0731707317073,0.1,0.5,113596.9062997325,255.5438691267355,0.0
275.9756097560976,0.1,0.5,113638.37952318214,249.2682926829268,0.0
284.8780487804878,0.1,0.5,113657.55494947752,240.36587665853915,0.0
293.780487804878,0.1,0.5,113691.20557188042,236.44249252040936,0.0
302.6829268292683,0.1,0.5,114303.9675449226,231.46341463414643,8.902439024390192
311.5853658536585,0.1,0.5,114443.4476662236,400.60996309758406,0.0
320.4878048780488,0.1,0.5,114548.14209015248,391.7075240731938,0.0
329.390243902439,0.1,0.5,114454.96163907716,246.8915048079283,8.90243902439025
338.2926829268293,0.1,0.5,114594.62600447747,347.1951219512194,0.0
347.1951219512195,0.1,0.5,114760.61052349588,338.2926829268292,8.902439024390247
356.0975609756098,0.1,0.5,114900.64785881259,364.9999999999999,0.0
0.0,0.1,1.0,120416.97401168267,356.0975609756097,0.0
8.902439024390244,0.1,1.0,120438.50781167441,347.19512195121956,0.0
17.804878048780488,0.1,1.0,120226.07471575987,338.2926829268293,8.902439024390242
26.70731707317073,0.1,1.0,120371.97416497093,330.0644345254287,0.0
35.609756097560975,0.1,1.0,120307.47402714353,326.8960770522866,0.0
44.51219512195122,0.1,1.0,120211.79191017634,325.2930813151029,0.0
53.41463414634146,0.1,1.0,120062.30808916206,320.48780487804873,0.0
62.31707317073171,0.1,1.0,119835.62149925015,311.5853658536586,0.0
71.21951219512195,0.1,1.0,119537.37926809076,302.68292682926835,0.0
80.1219512195122,0.1,1.0,119483.80796212195,311.5853658536586,0.0
89.02439024390245,0.1,1.0,119282.39631168229,308.6637256342756,0.0
97.92682926829268,0.1,1.0,119084.68871410144,302.68294582926825,0.0
106.82926829268293,0.1,1.0,118855.14892240163,293.7805088048791,0.0
115.73170731707317,0.1,1.0,118697.26447385416,289.9100181229683,0.0
124.63414634146342,0.1,1.0,118630.58863644829,293.3511008162484,0.0
133.53658536585365,0.1,1.0,118508.08262832195,287.64927283688644,0.0
142.4390243902439,0.1,1.0,118421.50987503429,284.87804978048786,0.0
151.34146341463415,0.1,1.0,118206.50726460772,275.9756127560976,8.902439024390231
160.2439024390244,0.1,1.0,118232.15676138819,269.97492735434616,0.0
169.14634146341464,0.1,1.0,118357.20418408065,276.64915979022066,0.0
178.0487804878049,0.1,1.0,118399.4977139818,275.975620756098,0.0
186.9512195121951,0.1,1.0,118422.26333402623,274.57515081908997,0.0
195.85365853658536,0.1,1.0,118418.41378642168,268.5547071642645,0.0
204.7560975609756,0.1,1.0,118422.04521241237,263.3658332298965,0.0
213.65853658536585,0.1,1.0,118311.89959269573,257.86739275591026,8.902439024390231
222.5609756097561,0.1,1.0,118456.89917909226,252.99056459854057,0.0
231.46341463414635,0.1,1.0,118494.53251814321,248.47230152851537,0.0
240.3658536585366,0.1,1.0,118628.26363641948,249.26830668292763,0.0
249.26829268292684,0.1,1.0,118662.85368968987,243.63663844117335,0.0
258.1707317073171,0.1,1.0,118702.55739929203,238.84715210843262,0.0
267.0731707317073,0.1,1.0,118830.23740109432,244.1632501160534,0.0
275.9756097560976,0.1,1.0,118867.2723517931,239.03410122769367,0.0
284.8780487804878,0.1,1.0,118889.00968955028,234.5911898821072,0.0
293.780487804878,0.1,1.0,119561.48641729787,230.01581975627073,17.80487804878047
302.6829268292683,0.1,1.0,119748.13436866697,249.26829268292687,8.902439024390192
311.5853658536585,0.1,1.0,119894.25788667527,400.6097950975654,0.0
320.4878048780488,0.1,1.0,120004.02408233678,391.7073560731751,0.0
329.390243902439,0.1,1.0,119460.86712064123,302.68292682926835,0.0
338.2926829268293,0.1,1.0,119475.57842216763,293.7804878048781,0.0
347.1951219512195,0.1,1.0,120220.93431432018,291.4097989099145,8.902439024390247
356.0975609756098,0.1,1.0,120367.63464306424,364.9999999999999,0.0
0.0,0.25,0.0,86744.49089050714,343.21746828218625,8.902439024390242
8.902439024390244,0.25,0.0,86850.34239322644,349.6447543881316,0.0
17.804878048780488,0.25,0.0,86905.23238111928,343.7142491241652,0.0
26.70731707317073,0.25,0.0,86948.90638835412,338.159071633323,0.0
35.609756097560975,0.25,0.0,86976.4497689892,333.01227634999066,0.0
44.51219512195122,0.25,0.0,86982.97989435839,328.2535610428123,0.0
53.41463414634146,0.25,0.0,86957.98738562397,320.5897990531273,0.0
62.31707317073171,0.25,0.0,86890.35979988801,317.00270743929724,0.0
71.21951219512195,0.25,0.0,86788.66919995743,313.013299654814,0.0
80.1219512195122,0.25,0.0,86655.60307208687,309.7948230535639,0.0
89.02439024390245,0.25,0.0,86500.28820917968,305.99754051662876,0.0
97.92682926829268,0.25,0.0,86337.11227657986,302.68292682926824,0.0
106.82926829268293,0.25,0.0,86173.47090274043,299.4852424603379,0.0
115.73170731707317,0.25,0.0,86025.01178894044,295.4705441947867,0.0
124.63414634146342,0.25,0.0,85895.22480283298,293.3978812133847,0.0
133.53658536585365,0.25,0.0,85785.46989728391,288.9587856621521,0.0
142.4390243902439,0.25,0.0,85703.1474560145,284.9675811678539,0.0
151.34146341463415,0.25,0.0,85640.67282312334,283.8365534691294,0.0
160.2439024390244,0.25,0.0,85601.57512376917,279.8524953101742,0.0
169.14634146341464,0.25,0.0,85582.86850783383,276.3060826487514,0.0
178.0487804878049,0.25,0.0,85577.9162322719,274.78065298758037,0.0
186.9512195121951,0.25,0.0,85588.20053400265,271.7483621642538,0.0
195.85365853658536,0.25,0.0,85609.61562420471,268.97554278660834,0.0
204.7560975609756,0.25,0.0,85639.47994653296,265.6617461205083,0.0
213.65853658536585,0.25,0.0,85677.76242931919,263.89483795299475,0.0
222.5609756097561,0.25,0.0,85722.09803754662,262.39729755887237,0.0
231.46341463414635,0.25,0.0,85770.60898883102,261.08645774736146,0.0
240.3658536585366,0.25,0.0,85822.66422807271,261.34153170813227,0.0
249.26829268292684,0.25,0.0,85879.08509626007,256.7004556616939,0.0
258.1707317073171,0.25,0.0,85937.3174995355,256.1837520926129,0.0
267.0731707317073,0.25,0.0,85997.53363880108,257.4018254590772,0.0
275.9756097560976,0.25,0.0,86061.56600392715,264.0546019852835,0.0
284.8780487804878,0.25,0.0,86125.9867997928,272.57901408389375,0.0
293.780487804878,0.25,0.0,86120.38916937503,281.7428150707344,17.80487804878047
302.6829268292683,0.25,0.0,86225.47809980775,296.78980811486764,8.902439024390192
311.5853658536585,0.25,0.0,86330.69526564912,338.2926829268292,0.0
320.4878048780488,0.25,0.0,86406.33342371283,329.3902439024389,0.0
329.390243902439,0.25,0.0,86475.33405652683,320.4878048780487,0.0
338.2926829268293,0.25,0.0,86535.61099742277,311.5853658536584,0.0
347.1951219512195,0.25,0.0,86583.6057510071,302.6829268292683,0.0
356.0975609756098,0.25,0.0,86638.76857256127,293.780487804878,17.804878048780466
0.0,0.25,0.25,104073.34284478606,356.239605322043,0.0
8.902439024390244,0.25,0.25,104130.389727164,355.6064726345521,0.0
