t0,residual_exact,residual_fourier,Vtilde_exact,Vtilde_fourier
186.15,-2655.3631799351456,-2674.092192468594,1.8889926537846982e7,1.888990749482776e7
189.8,-2678.9758756555975,-2669.777270949616,1.8889639268251695e7,1.888964828224916e7
193.45,-2702.016129698067,-2697.2625652168,1.888926432339827e7,1.8889269640117757e7
197.1,-2726.291132692032,-2744.132467352033,1.8888799839658577e7,1.888878281294737e7
200.75,-2752.9868270590205,-2730.1861852171996,1.8888242483644348e7,1.888826764620127e7
204.4,-2781.981855363393,-2802.482594550915,1.8887586681585193e7,1.8887565503475327e7
208.05,-2812.7201230670225,-2800.1120009675524,1.8886823903047916e7,1.888683674075389e7
211.7,-2845.621828838176,-2844.258602074263,1.888594304844337e7,1.8885944610351596e7
215.35,-2882.218270651779,-2897.396367438373,1.8884931550190873e7,1.8884916651910033e7
219.0,-2923.9082536544693,-2901.9501294350093,1.8883775900652178e7,1.8883801009823084e7
222.65,-2970.7883353320804,-2993.1044240413958,1.8882461021845188e7,1.8882437595159985e7
226.3,-3022.173865605541,-3006.151477061981,1.888096926510995e7,1.8880986233237244e7
229.95,-3078.124846358485,-3080.2091012843866,1.8879280353947874e7,1.887927789999156e7
233.6,-3139.9053666208183,-3152.2627512272825,1.8877372314295385e7,1.887735980557266e7
237.25,-3209.1607406935173,-3188.0848858081104,1.8875222239843167e7,1.8875247257423647e7
240.9,-3286.453797414561,-3310.714080915231,1.8872805898846824e7,1.8872779975309458e7
244.55,-3371.157480178312,-3351.5421976376324,1.8870096486362353e7,1.8870118126724493e7
248.2,-3462.9889879982293,-3468.8292767357866,1.8867064155294996e7,1.886705717270969e7
251.85,-3563.0640560185143,-3572.3357252779997,1.8863676739773292e7,1.886366707700008e7
255.5,-3673.325307578965,-3653.215932020934,1.8859900712694924e7,1.8859925575286508e7
259.15,-3794.8684831261185,-3821.3098682949944,1.8855701095427614e7,1.8855672236736327e7
262.8,-3927.2977557427566,-3903.6992587202653,1.885104020930923e7,1.885106745537067e7
266.45,-4070.0390282497815,-4080.1555909786484,1.884587674250266e7,1.8845864314338937e7
270.1,-4223.993998498254,-4229.681755158456,1.8840166142167285e7,1.8840160050117962e7
273.75,-4391.496935956098,-4372.436085949131,1.883386185217701e7,1.883388649476579e7
277.4,-4573.963881121474,-4602.988124417075,1.8826915881965384e7,1.8826883336307913e7
281.05,-4771.546199750488,-4743.296128933479,1.88192774464177e7,1.881931188168051e7
284.7,-4983.172982485626,-4998.551074414145,1.8810891838615704e7,1.8810872416594584e7
288.35,-5209.536136036968,-5210.585083615647,1.880170052862018e7,1.880169931973932e7
292.0,-5452.4053441350225,-5434.692668975466,1.8791642867512878e7,1.8791667140186854e7
295.65,-5714.204767298008,-5746.409366157334,1.8780657251435164e7,1.8780619698363543e7
299.3,-5994.882254557188,-5960.7713238541355,1.876868067115947e7,1.876872507208422e7
302.95,-6293.464021831932,-6314.92400159875,1.875564737257866e7,1.875561804553295e7
306.6,-6607.28717766421,-6602.236060995378,1.874148895394239e7,1.87414950340296e7
310.25,-6939.188444495394,-6923.182843021866,1.87261367237392e7,1.8726160349398702e7
313.9,-7290.618060871253,-7327.273212541258,1.8709524582057137e7,1.8709479464980487e7
317.55,-7661.167659126459,-7619.106139187742,1.8691590055772893e7,1.8691649979382876e7
321.2,-8047.131385207876,-8078.707327740062,1.8672273731098957e7,1.8672228448849287e7
324.85,-8444.19895211437,-8430.071857405055,1.8651519740724795e7,1.8651538331915602e7
328.5,-8850.460027384624,-8836.969221226562,1.86292796087361e7,1.862930187201847e7
332.15,-9265.799454959491,-9308.97692135989,1.860551807705759e7,1.8605459728138033e7
335.8,-9687.530692553462,-9633.496878338574,1.858021752198587e7,1.858030610797976e7
339.45,-10107.25464334747,-10153.93447656596,1.8553379593428962e7,1.8553303281614907e7
343.1,-10512.93640138809,-10483.457022654364,1.852502706939525e7,1.85250721827129e7
346.75,-10894.185772517341,-10885.207735034019,1.84952103746446e7,1.8495228751951285e7
350.4,-11243.596813510649,-11298.172130859846,1.8464020378729727e7,1.846393361288451e7
354.05,-11550.373627149696,-11476.49277675389,1.8431606143986467e7,1.843176502254465e7
357.7,-11786.663611552773,-11857.994282660715,1.8398202463674016e7,1.8398051632789824e7
361.35,-11876.50334498673,-11788.750294060419,1.836420830251045e7,1.8364338390417505e7
