t,V_xi0,Vtilde_xi0,tau_star_xi0,d_star_xi0,V_xi_small,Vtilde_xi_small,tau_star_xi_small,d_star_xi_small,V_xi_mid,Vtilde_xi_mid,tau_star_xi_mid,d_star_xi_mid,W
40.15,107082.94070988952,107137.72636806846,330.1730066816038,0.0,107565.6773561321,107619.91772412106,330.08356269634334,0.0,113067.7631216031,113145.4213191501,326.8768381943807,0.0,1.355509919617889e8
41.975,107073.56828033307,107127.4053506994,330.1509605576309,0.0,107556.039929604,107609.28974032737,330.03914640818556,0.0,113055.09867853276,113127.72927114063,327.21119146575444,0.0,1.355420200044871e8
43.8,107064.19585077664,107117.08433333033,330.128914433658,0.0,107546.4025030759,107598.66175653368,329.99473012002784,0.0,113042.43423546242,113110.03722313115,327.5455447371282,0.0,1.3553304804718533e8
45.625,107054.8234212202,107106.76331596126,330.1068683096851,0.0,107536.76507654777,107588.03377273999,329.95031383187006,0.0,113029.7697923921,113092.34517512168,327.8798980085019,0.0,1.3552407608988357e8
47.45,107045.45099166376,107096.4422985922,330.08482218571226,0.0,107527.12765001967,107577.4057889463,329.90589754371234,0.0,113017.10534932175,113074.65312711221,328.21425127987567,0.0,1.3551510413258177e8
49.275,107036.07856210732,107086.12128122312,330.0627760617393,0.0,107517.49022349156,107566.77780515261,329.8614812555546,0.0,113004.44090625142,113056.96107910274,328.5486045512494,0.0,1.3550613217528e8
51.1,107026.70613255088,107075.80026385406,330.04072993776646,0.0,107507.85279696346,107556.14982135892,329.81706496739685,0.0,112991.77646318109,113039.26903109327,328.8829578226232,0.0,1.3549716021797824e8
52.925,107016.19998409765,107064.18200087878,329.9601724212256,0.0,107497.11511288864,107544.25020797165,329.7245162318891,0.0,112977.65676773126,113023.23104525717,328.88686235418385,0.0,1.3548466801529098e8
54.75,107004.1822104487,107050.8340770952,329.80159971459403,0.0,107484.91041875155,107530.6550884596,329.5677908999146,0.0,112961.59673577543,113009.39847565226,328.45016856599375,0.0,1.3546748215208972e8
56.575,106992.16443679972,107037.48615331162,329.6430270079625,0.0,107472.70572461444,107517.05996894756,329.41106556794017,0.0,112945.5367038196,112995.56590604733,328.01347477780365,0.0,1.3545029628888845e8
58.4,106980.14666315076,107024.13822952805,329.48445430133097,0.0,107460.50103047735,107503.46484943552,329.2543402359657,0.0,112929.47667186378,112981.73333644241,327.57678098961355,0.0,1.354331104256872e8
60.225,106968.12888950181,107010.79030574446,329.3258815946994,0.0,107448.29633634025,107489.86972992348,329.09761490399126,0.0,112913.41663990795,112967.9007668375,327.14008720142346,0.0,1.3541592456248593e8
62.05,106956.11111585284,106997.4423819609,329.16730888806785,0.0,107436.09164220314,107476.27461041145,328.9408895720168,0.0,112897.35660795213,112954.06819723257,326.7033934132333,0.0,1.3539873869928467e8
63.875,106944.09334220388,106984.09445817731,329.0087361814363,0.0,107423.88694806605,107462.6794908994,328.78416424004234,0.0,112881.2965759963,112940.23562762766,326.2666996250432,0.0,1.3538155283608344e8
65.7,106932.07556855492,106970.74653439374,328.8501634748048,0.0,107411.68225392896,107449.08437138736,328.62743890806786,0.0,112865.23654404048,112926.40305802273,325.8300058368531,0.0,1.3536436697288218e8
67.525,106920.05779490595,106957.39861061017,328.6915907681732,0.0,107399.47755979185,107435.48925187532,328.4707135760934,0.0,112849.17651208465,112912.57048841781,325.393312048663,0.0,1.3534718110968092e8
69.35,106908.040021257,106944.05068682658,328.53301806154167,0.0,107387.27286565476,107421.89413236328,328.31398824411895,0.0,112833.11648012883,112898.7379188129,324.9566182604729,0.0,1.3532999524647966e8
71.175,106894.08640159601,106928.41267435421,328.16360197685253,0.0,107373.25116687789,107406.14063787436,327.9574313275064,0.0,112819.23935360539,112878.78907728508,325.06708771738624,0.0,1.3530767407195002e8
