t,Q,xi,V,Vtilde,tau_star,d_star,W,fallow_foc
32.85,0.1,0.0,87477.7410339229,87547.84838432583,331.0132083938612,0.0,1.180788575048806e8,-6.157409000551686
34.675,0.1,0.0,87482.20141743548,87558.4980749959,329.9452507746379,0.0,1.180656977536793e8,-6.1588678622873125
36.5,0.1,0.0,87484.26810634941,87567.19583582846,328.9877071139693,0.0,1.1804822914258337e8,-8.35263805796916
38.325,0.1,0.0,87483.82141593473,87573.84407033163,328.14609810978317,0.0,1.1802623622859807e8,-8.353548775024388
40.15,0.1,0.0,87483.37472552006,87580.49230483478,327.30448910559704,0.0,1.1800424331461276e8,-8.354459492079615
41.975,0.1,0.0,87482.92803510537,87587.14053933795,326.4628801014109,0.0,1.1798225040062746e8,-8.355370209134843
43.8,0.1,0.0,87482.48134469069,87593.78877384112,325.6212710972248,0.0,1.1796025748664217e8,-8.356280926190072
45.625,0.1,0.0,87478.50773406417,87596.42889216816,324.70401077000264,0.0,1.1793100424524713e8,-11.958456574637765
47.45,0.1,0.0,87472.27689450205,87596.50381614249,323.73833359603736,0.0,1.1789710439430983e8,-11.958466838195893
49.275,0.1,0.0,87466.04605493994,87596.57874011682,322.77265642207215,0.0,1.1786320454337256e8,-11.95847710175402
51.1,0.1,0.0,87459.81521537784,87596.65366409115,321.80697924810687,0.0,1.1782930469243528e8,-11.958487365312148
52.925,0.1,0.0,87453.58437581571,87596.72858806547,320.8413020741416,0.0,1.17795404841498e8,-11.958497628870274
54.75,0.1,0.0,87441.95506433827,87590.438869274,320.05001338126795,0.0,1.1775495974533007e8,-16.723852523973967
56.575,0.1,0.0,87428.34631315852,87581.81544813506,319.3226671314612,0.0,1.1771211472591089e8,-16.72267123340699
58.4,0.1,0.0,87414.73756197876,87573.19202699613,318.59532088165435,0.0,1.1766926970649171e8,-16.721489942840012
60.225,0.1,0.0,87401.12881079901,87564.5686058572,317.8679746318476,0.0,1.1762642468707255e8,-16.720308652273037
62.05,0.1,0.0,87387.52005961927,87555.94518471826,317.1406283820408,0.0,1.1758357966765337e8,-16.719127361706057
63.875,0.1,0.0,87367.91799572948,87539.23755212608,316.32270064592035,0.0,1.1753128365083912e8,-21.90592153467282
65.7,0.1,0.0,87347.2885068037,87521.14405471332,315.48924465500323,0.0,1.1747736746304284e8,-21.9034429733834
67.525,0.1,0.0,87326.65901787792,87503.05055730058,314.6557886640862,0.0,1.1742345127524658e8,-21.900964412093984
69.35,0.1,0.0,87306.02952895213,87484.95705988783,313.82233267316906,0.0,1.1736953508745031e8,-21.89848585080457
71.175,0.1,0.0,87285.40004002635,87466.86356247509,312.98887668225194,0.0,1.1731561889965405e8,-21.89600728951515
73.0,0.1,0.0,87258.3803008238,87440.1848616586,312.3314172500105,0.0,1.1725888815107809e8,-26.714179242187637
74.825,0.1,0.0,87231.20080536432,87413.29153075702,311.6783577317359,0.0,1.1720208703848265e8,-26.710495224255915
76.65,0.1,0.0,87204.02130990486,87386.39819985545,311.0252982134614,0.0,1.1714528592588721e8,-26.70681120632419
78.475,0.1,0.0,87176.84181444539,87359.50486895387,310.3722386951868,0.0,1.1708848481329179e8,-26.703127188392465
80.3,0.1,0.0,87149.21479784211,87331.95652757754,309.7067438790042,0.0,1.1703106863124445e8,-30.378179397113108
82.125,0.1,0.0,87117.44821065862,87298.3493393097,308.92622255717265,0.0,1.1696796305676714e8,-30.373575672692855
83.95,0.1,0.0,87085.68162347513,87264.74215104186,308.14570123534105,0.0,1.1690485748228984e8,-30.368971948272602
85.775,0.1,0.0,87053.91503629166,87231.13496277403,307.36517991350945,0.0,1.1684175190781252e8,-30.364368223852352
87.6,0.1,0.0,87022.14844910816,87197.52777450619,306.58465859167785,0.0,1.167786463333352e8,-30.3597644994321
89.425,0.1,0.0,86990.01968357661,87163.37049994618,305.8273067210237,0.0,1.1671653300567971e8,-31.728207976549644
91.25,0.1,0.0,86956.60317280749,87127.25736301395,305.1523351212228,0.0,1.16657947666724e8,-31.723260971490433
93.075,0.1,0.0,86923.18666203837,87091.14422608174,304.47736352142186,0.0,1.1659936232776827e8,-31.71831396643123
94.9,0.1,0.0,86889.77015126926,87055.03108914952,303.802391921621,0.0,1.1654077698881255e8,-31.713366961372017
96.725,0.1,0.0,86856.35364050014,87018.9179522173,303.12742032182007,0.0,1.1648219164985682e8,-31.708419956312813
