t,k,m,lambda
87,0.006093075054439733,0.0002459410502681502,0.00550379377305615
88,0.006064448620836678,0.0002455734652171048,0.005319704619115031
89,0.006035212407578074,0.00024519151446706353,0.005138724722203736
90,0.006005385146693332,0.00024479537970051096,0.004961050045613087
91,0.005974985783613768,0.00024438524871230147,0.0047868547216624695
92,0.005944033454969847,0.00024396131525124327,0.004616291694035569
93,0.005912547466466056,0.0002435237788576147,0.004449493439251136
94,0.005880547270872808,0.00024307284469685073,0.004286572755703861
95,0.005848052446173892,0.00024260872338962192,0.0041276236090753175
96,0.0058150826739069425,0.00024213163083855688,0.0039727220233669045
97,0.005781657717733061,0.00024164178805184292,0.0038219270073323397
98,0.00574779740227078,0.00024113942096394615,0.003675281506673121
99,0.005713521592227939,0.00024062476025370352,0.0035328133729923177
100,0.00567885017186396,0.0002400980411600232,0.00339453634116842
101,0.005643803024813346,0.00023955950329545216,0.003260451007499963
102,0.005608400014299964,0.00023900939045784755,0.0031305458016721503
103,0.005572660963769931,0.00023844795044040837,0.0030047979462995283
104,0.005536605637969553,0.00023787543484030848,0.0028831743984950842
105,0.005500253724493013,0.00023729209886617962,0.0027656327685980854
106,0.0054636248158230144,0.00023669820114469148,0.002652122211854598
107,0.005426738391885731,0.00023609400352646661,0.0025425842894795945
108,0.005389613803140045,0.0002354797708915726,0.0024369537961342167
109,0.005352270254219065,0.000234855770954833,0.0023351595514216946
110,0.00531472678814045,0.00023422227407118742,0.002237125153538539
111,0.0052770022711003,0.00023357955304133298,0.002142769693711717
112,0.005239115377863671,0.00023292788291787395,0.002052008430506296
113,0.005201084577763207,0.00023226754081220855,0.0019647534235015373
114,0.0051629281213156405,0.0002315988057023612,0.0018809141262059212
115,0.005124664027464275,0.00023092195824198406,0.0018003979384145533
116,0.005086310071454127,0.00023023728057072813,0.0017231107185060697
117,0.005047883773344558,0.00022954505612619614,0.001648957256432522
118,0.0050094023871630035,0.00022884556945766398,0.001577841708376199
119,0.0049708828907016065,0.00022813910604177113,0.0015096679942337974
120,0.00493234197595739,0.00022742595210036102,0.0014443401592431316
121,0.0048937960402149205,0.00022670639442064764,0.0013817627011926872
122,0.0048552611777693,0.00022598072017788646,0.0013218408647521376
123,0.004816753172285788,0.00022524921676071095,0.0012644809045348347
124,0.004778287489791281,0.00022451217159928915,0.00120959031855356
125,0.004739879272291531,0.0002237698719964605,0.0011570780537606953
126,0.004701543332006902,0.00022302260496198862,0.0011068546853758472
127,0.004663294146218383,0.00022227065705006675,0.001058832571699771
128,0.004625145852714469,0.00022151431420021,0.0010129259860954679
129,0.004587112245828665,0.00022075386158164974,0.0009690512277873137
130,0.004549206773056321,0.00021998958344134601,0.0009271267130889705
131,0.004511442532238766,0.0002192217629557241,0.0008870730486222234
132,0.0044738322693018895,0.0002184506820862309,0.0008488130880334413
133,0.004436388376535564,0.00021767662143880616,0.0008122719736533307
134,0.004399122891399648,0.00021689986012734576,0.0007773771644805752
135,0.004362047495841777,0.0002161206756412368,0.0007440584518016711
136,0.004325173516111464,0.00021533934371702792,0.0007122479636891437
137,0.004288511923054739,0.00021455613821429797,0.0006818801595489929
138,0.00425207333287292,0.00021377133099577451,0.000652891815816655
139,0.004215868008328963,0.00021298519181174724,0.0006252220038295861
140,0.004179905860384322,0.00021219798818881082,0.0005988120608343912
141,0.004144196450249198,0.00021140998532297615,0.0005736055550176764
142,0.004108748991828643,0.0002106214459771626,0.0005495482453830591
143,0.0040735723545470654,0.000209832630383097,0.0005265880372321507
144,0.00403867506653336,0.00020904379614762413,0.0005046749339452941
145,0.004004065318149038,0.00020825519816343533,0.0004837609856984852
146,0.00396975096584159,0.00020746708852420652,0.0004638002356963712
