t,k,m,lambda,k_baseline,m_baseline,lambda_baseline
94,0.0076794337455226205,0.0006124566992398949,0.00966382479165493,0.005880547270872808,0.00024307284469685073,0.00142604297879628
95,0.007545909683372399,0.0006070504546658543,0.009163014574373438,0.005848052446173892,0.00024260872338962192,0.0013945145879592506
96,0.007414136008998364,0.0006016509629797008,0.008684509798737295,0.0058150826739069425,0.00024213163083855688,0.0013629888710505445
97,0.007284181161891966,0.0005962621468324195,0.008227781291053657,0.005781657717733061,0.00024164178805184292,0.001331506532501583
98,0.007156106964111875,0.0005908877741848879,0.007792260050915871,0.00574779740227078,0.00024113942096394615,0.0013001068430434845
99,0.007029968832260663,0.0005855314574469093,0.007377344185554036,0.005713521592227939,0.00024062476025370352,0.001268827576816122
100,0.006905815998924766,0.0005801966530466644,0.006982405364203308,0.00567885017186396,0.0002400980411600232,0.0012377049566529822
101,0.006783691741852073,0.0005748866614087917,0.006606794787290702,0.005643803024813346,0.00023955950329545216,0.0012067736074636217
102,0.006663633619229148,0.0005696046273188714,0.006249848671252428,0.005608400014299964,0.00023900939045784755,0.0011760665175917621
103,0.006545673709511692,0.000564353540651765,0.005910893255026846,0.005572660963769931,0.00023844795044040837,0.0011456150079864101
104,0.006429838854357814,0.0005591362374410972,0.00558924933874612,0.005536605637969553,0.00023787543484030848,0.0011154487089856243
105,0.006316150903310497,0.0005539554012671304,0.005284236368909704,0.005500253724493013,0.00023729209886617962,0.0010855955444781227
106,0.006204626958974574,0.0005488135649403698,0.004995176087406086,0.0054636248158230144,0.00023669820114469148,0.001056081723176806
107,0.006095279621532329,0.0005437131124584108,0.004721395764203719,0.005426738391885731,0.00023609400352646661,0.0010269317367105045
108,0.0059881172315399255,0.0005386562812138975,0.004462231035410705,0.005389613803140045,0.0002354797708915726,0.0009981683642159911
109,0.0058831441100437604,0.0005336451644317842,0.004217028369757193,0.005352270254219065,0.000234855770954833,0.0009698126830914474
110,0.005780360795150911,0.0005286817138146462,0.003985147187441749,0.00531472678814045,0.00023422227407118742,0.0009418840855551188
111,0.005679764274279764,0.0005237677423752969,0.0037659616557553692,0.0052770022711003,0.00023357955304133298,0.0009144003006388398
112,0.005581348211406411,0.0005189049274366133,0.003558862186008204,0.005239115377863671,0.00023292788291787395,0.0008873774212352734
113,0.005485103168708003,0.0005140948137791655,0.003363256656085254,0.005201084577763207,0.00023226754081220855,0.0008608299358100992
114,0.005391016822086246,0.0005093388169179631,0.0031785713824958703,0.0051629281213156405,0.0002315988057023612,0.0008347707643857462
115,0.0052990741701318565,0.0005046382264904263,0.0030042518651032433,0.005124664027464275,0.00023092195824198406,0.0008092112984015696
116,0.005209257736164689,0.0004999942097384894,0.002839763326865134,0.005086310071454127,0.00023023728057072813,0.0007841614440563683
117,0.0051215477630528645,0.0004954078150685979,0.002684591069924317,0.005047883773344558,0.00022954505612619614,0.0007596296687426574
118,0.005035922400579475,0.0004908799756742029,0.002538240668289675,0.0050094023871630035,0.00022884556945766398,0.0007356230501880665
119,0.004952357885184739,0.0004864115132062432,0.0024002380161779343,0.0049708828907016065,0.00022813910604177113,0.0007121473279272104
120,0.004870828711967831,0.00048200314147798184,0.00227012924986746,0.00493234197595739,0.00022742595210036102,0.0006892069567374657
121,0.0047913077988827844,0.00047765547019144205,0.0021474805596729267,0.0048937960402149205,0.00022670639442064764,0.0006668051616837815
122,0.004713766643110243,0.00047336900867356476,0.002031877907402878,0.0048552611777693,0.00022598072017788646,0.0006449439944309984
123,0.004638175469628602,0.00046914416961109433,0.0019229266634275524,0.004816753172285788,0.00022524921676071095,0.0006236243904967339
124,0.004564503372046486,0.0004649812727740353,0.0018202511762762947,0.004778287489791281,0.00022451217159928915,0.0006028462271337178
125,0.00449271844579264,0.0004608805487183813,0.0017234942865129454,0.004739879272291531,0.0002237698719964605,0.0005826083815470988
126,0.004422787913789536,0.0004568421424596295,0.0016323167955133479,0.004701543332006902,0.00022302260496198862,0.0005629087891697405
127,0.00435467824476367,0.00045286611710939565,0.001546396898697698,0.004663294146218383,0.00022227065705006675,0.0005437445017365098
128,0.004288355264368834,0.0004489524574682192,0.0014654295917573262,0.004625145852714469,0.00022151431420021,0.0005251117449169394
129,0.004223784259318432,0.00044510107356838646,0.0013891260574634306,0.004587112245828665,0.00022075386158164974,0.0005070059752842956
130,0.004160930074739979,0.00044131180416132754,0.0013172130397565863,0.004549206773056321,0.00021998958344134601,0.0004894219364177413
131,0.004099757204978868,0.00043758442014481155,0.00124943221099093,0.004511442532238766,0.0002192217629557241,0.00047235371395289605
132,0.004040229878090022,0.00043391862792583404,0.0011855395374457164,0.0044738322693018895,0.0002184506820862309,0.00045579478941451356
133,0.003982312134264915,0.0004303140727156871,0.0011253046475181174,0.004436388376535564,0.00021767662143880616,0.00043973809268306745
134,0.0039259678984484726,0.0004267703417543148,0.0010685102063732132,0.004399122891399648,0.00021689986012734576,0.00042417605296470696
135,0.003871161047404752,0.0004232869674615774,0.0010149513002475246,0.004362047495841777,0.0002161206756412368,0.00040910064815116
136,0.0038178554714934916,0.000419863430513584,0.0009644348330787355,0.004325173516111464,0.00021533934371702792,0.0003945034524727058
137,0.0037660151314206454,0.00041649916284272555,0.0009167789376634103,0.004288511923054739,0.00021455613821429797,0.000380375682363191
138,0.003715604110225778,0.0004131935505604799,0.0008718124031232629,0.00425207333287292,0.00021377133099577451,0.00036670824047117296
139,0.0036665866607675335,0.0004099459368024813,0.0008293741200859436,0.004215868008328963,0.00021298519181174724,0.0003534917577656416
140,0.003618927248965574,0.00040675562449572625,0.000789312544654662,0.004179905860384322,0.00021219798818881082,0.0003407166336982652
141,0.003572590593053405,0.000403621879048109,0.0007514851819493478,0.004144196450249198,0.00021140998532297615,0.0003283730743968084
142,0.0035275416990918403,0.00040054393096082634,0.0007157580897470251,0.004108748991828643,0.0002106214459771626,0.00031645112887617306
143,0.0034837458929870254,0.00039752097836444204,0.0006820054025275217,0.0040735723545470654,0.000209832630383097,0.0003049407232644524
144,0.0034411688492508663,0.00039455218947966395,0.0006501088760396497,0.00403867506653336,0.00020904379614762413,0.00029383169305146527
145,0.0033997766167345868,0.0003916367050041044,0.000619957452339525,0.004004065318149038,0.00020825519816343533,0.00028311381337642696
146,0.003359535641558936,0.00038877364042648645,0.0005914468451141847,0.00396975096584159,0.00020746708852420652,0.00027277682737974617
147,0.0033204127874566823,0.0003859620882699184,0.000564479144987425,0.003935739536305359,0.00020667971644414414,0.00026281047265145057
148,0.0032823753537348874,0.00038320112026599807,0.0005389624444085097,0.003902038230932444,0.00020589332818191734,0.0002532045058154038
149,0.0032453910910561893,0.00038048978946162186,0.0005148104816458358,0.0038686539305360203,0.00020510816696895428,0.00024394872529438213
150,0.0032094282152296248,0.0003778271322604572,0.0004919423033447483,0.003835593200328858,0.00020432447294208377,0.00023503299230619434
151,0.0031744554191928615,0.0003752121704011103,0.0004702819450595694,0.003802862295139876,0.00020354248308047658,0.00022644725014543156
152,0.0031404418833589085,0.00037264391287405155,0.00044975812913290416,0.0037704671648518422,0.00020276243114686237,0.00021818154180914872
153,0.00310735728449147,0.00037012135777939737,0.00043030397926870876,0.0037384134600435726,0.0002019845476329663,0.00021022602602782244
154,0.0030751718032642904,0.00036764349412764865,0.00041185675112820607,0.0037067065378203353,0.0002012090597091276,0.0002025709917653898
155,0.0030438561306509295,0.0003652093035854647,0.00039435757826806106,0.0036753514678163454,0.00020043619117804244,0.00019520687125402006
156,0.003013381473282653,0.0003628177621685315,0.0003777512327372917,0.0036443530383537216,0.0001996661624325719,0.00018812425163062868
157,0.0029837195579033504,0.0003604678418835392,0.00036198589965204714,0.003613715762742572,0.00019889919041756143,0.00018131388524297135
158,0.0029548426350418074,0.00035815851232121266,0.0003470129650747839,0.003583443885707209,0.0001981354885955983,0.0001747666986935552
159,0.002926723482013088,0.0003558887422022851,0.0003327868165357016,0.0035535413899239737,0.00019737526691664223,0.00016847380068958764
160,0.0028993354053524507,0.00035365750087820713,0.0003192646555488031,0.0035240120026565685,0.0001966187317914577,0.00016242648876678827
161,0.00287265224277691,0.0003514637597882988,0.00030640632149205434,0.003494859202475098,0.00019586608606876661,0.00015661625495416763
162,0.0028466483647615845,0.0003493064938749523,0.00029417412624023487,0.0034660862260456568,0.00019511752901605044,0.00015103479044585548
163,0.0028212986758098697,0.0003471846829583722,0.0002825326989597483,0.0034376960749775603,0.0001943732563039107,0.00014567398934476792
164,0.002796578615488921,0.00034509731307223827,0.00027144884049646635,0.0034096915227159238,0.0001936334599939107,0.0001405259515414017
165,0.002772464159294288,0.0003430433777615449,0.00026089138681027865,0.0033820751214676545,0.00019289832852980752,0.0001355829847893248
166,0.0027489318194001402,0.0003410218793437447,0.00025083108093307526,0.003354849209149479,0.00019216804673208543,0.00013083760603705143
167,0.00272595864534447,0.00033903183013420205,0.00024124045295017695,0.003328015916347019,0.00019144279579570112,0.00012628254207398265
