t,k,m,lambda,k_const,m_const,lambda_const
124,0.004778287489791281,0.00022451217159928915,0.0003123537381975875,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
125,0.004739879272291531,0.0002237698719964605,0.0003035907432004336,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
126,0.004701543332006902,0.00022302260496198862,0.00029501195115445595,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
127,0.004663294146218383,0.00022227065705006675,0.00028661812496201934,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
128,0.004625145852714469,0.00022151431420021,0.0002784096996956353,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
129,0.004587112245828665,0.00022075386158164974,0.00027038679829984475,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
130,0.004549206773056321,0.00021998958344134601,0.000262549247366836,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
131,0.004511442532238766,0.0002192217629557241,0.0002548965929216492,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
132,0.0044738322693018895,0.0002184506820862309,0.0002474281161568194,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
133,0.004436388376535564,0.00021767662143880616,0.00024014284906034947,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
134,0.004399122891399648,0.00021689986012734576,0.00023303958988501935,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
135,0.004362047495841777,0.0002161206756412368,0.0002261169184111226,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
136,0.004325173516111464,0.00021533934371702792,0.00021937321095880235,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
137,0.004288511923054739,0.00021455613821429797,0.0002128066551101996,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
138,0.00425207333287292,0.00021377133099577451,0.00020641526410558288,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
139,0.004215868008328963,0.00021298519181174724,0.00020019689088152245,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
140,0.004179905860384322,0.00021219798818881082,0.00019414924172293487,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
141,0.004144196450249198,0.00021140998532297615,0.00018826988950447937,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
142,0.004108748991828643,0.0002106214459771626,0.00018255628650031602,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
143,0.0040735723545470654,0.000209832630383097,0.00017700577674459742,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
144,0.00403867506653336,0.00020904379614762413,0.00017161560792828607,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
145,0.004004065318149038,0.00020825519816343533,0.00016638294282095235,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
146,0.00396975096584159,0.00020746708852420652,0.00016130487020907705,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
147,0.003935739536305359,0.00020667971644414414,0.00015637841534510674,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
148,0.003902038230932444,0.00020589332818191734,0.0001516005499040354,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
149,0.0038686539305360203,0.00020510816696895428,0.00014696820144665117,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
150,0.003835593200328858,0.00020432447294208377,0.0001424782623907573,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
151,0.003802862295139876,0.00020354248308047658,0.00013812759849368567,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
152,0.0037704671648518422,0.00020276243114686237,0.00013391305685125237,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
153,0.0037384134600435726,0.0002019845476329663,0.00012983147341995508,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
154,0.0037067065378203353,0.0002012090597091276,0.00012587968007072098,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
155,0.0036753514678163454,0.00020043619117804244,0.0001220545111838294,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
156,0.0036443530383537216,0.0001996661624325719,0.00011835280979582558,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
157,0.003613715762742572,0.00019889919041756143,0.00011477143331026297,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
158,0.003583443885707209,0.0001981354885955983,0.00011130725878500079,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
159,0.0035535413899239737,0.00019737526691664223,0.00010795718780953334,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
160,0.0035240120026565685,0.0001966187317914577,0.00010471815098645864,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
161,0.003494859202475098,0.00019586608606876661,0.00010158711203168559,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
162,0.0034660862260456568,0.00019511752901605044,9.856107150838283e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
163,0.0034376960749775603,0.0001943732563039107,9.563707020995065e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
164,0.0034096915227159238,0.0001936334599939107,9.28121922074883e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
